id,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,oceane_device_status,OCEANE_Site,OCEANE_Product_Identifier2
1,KBJS1008,10-1329240,30075,Philip Morris International,Not Present,CN-BJS-EXB,No Data Found
2,KNEW30002,10-1319163,689068,Otis Elevator Company,Present,689068_USA_Metairie_001,No Data Found
3,KSSN30034,10-1326383,689068,Otis Elevator Company,Present,689068_KOR_Seongnam-si_002,No Data Found
4,KQBH30070,10-1338770,689068,Otis Elevator Company,Present,689068_FRA_Saint-Denis_002,No Data Found
5,KSSN30029,10-1326383,689068,Otis Elevator Company,Not Present,689068_KOR_Seongnam-si_002,No Data Found
6,KQYA30001,10-1338810,689068,Otis Elevator Company,Not Present,689068_KOR_Anyang_001,No Data Found
7,KSSN30033,10-1326383,689068,Otis Elevator Company,Not Present,689068_KOR_Seongnam-si_002,No Data Found
8,KOSN30014,10-1338817,689068,Otis Elevator Company,Not Present,689068_KOR_Pyeongtaek_001,No Data Found
9,KSSN30032,10-1326383,689068,Otis Elevator Company,Not Present,689068_KOR_Seongnam-si_002,No Data Found
10,KSSN30030,10-1326383,689068,Otis Elevator Company,Not Present,689068_KOR_Seongnam-si_002,No Data Found
11,KPFL30062,10-1338840,689068,Otis Elevator Company,Present,689068_CZE_Prague_001,No Data Found
12,KPFL30063,10-1338840,689068,Otis Elevator Company,Present,689068_CZE_Prague_001,No Data Found
13,KLPI30002,10-1338893,689068,Otis Elevator Company,Present,689068_SWE_Vasastaden_001,No Data Found
14,KPFL30061,10-1338840,689068,Otis Elevator Company,Present,689068_CZE_Prague_001,No Data Found
15,PDLC30002,10-1215398,686849,Mars Information Services Inc,Present,686849_CHN_Dalian_002,No Data Found
16,AFRA30596,10-1281081,670409,DSM Business Services BV,Present,0246_Frankfurt,No Data Found
17,KBZM1190,10-1306249,30075,Philip Morris International,Not Present,NL-BZM-PMI,No Data Found
18,KPGV30084,10-1299199,670409,DSM Group Business Services,Present,0400_Greenville,No Data Found
19,KQEV30029,10-1326538,689068,Otis Elevator Company,Present,689068_FRA_Gennevilliers_001,No Data Found
