id,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,Orchestre_Device_Present,Orchestre_Device_Present,Orchestre_Device_Present,Orchestre_Device_Present
1,KBJS1008,10-1329240,30075,Philip Morris International,Present,Present,Present,Present
2,KNEW30002,10-1319163,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
3,KSSN30034,10-1326383,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
4,KQBH30070,10-1338770,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
5,KSSN30029,10-1326383,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
6,KQYA30001,10-1338810,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
7,KSSN30033,10-1326383,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
8,KOSN30014,10-1338817,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
9,KSSN30032,10-1326383,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
10,KSSN30030,10-1326383,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
11,KPFL30062,10-1338840,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
12,KPFL30063,10-1338840,689068,Otis Elevator Company,Not Present,Not Present,Not Present,Not Present
